iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
BGD,1,0.008090019328924539,0.4,5,3,1,1
BGD,2,-0.0686600426818296,-0.6,5,0,2,3
BGD,3,,,0,0,0,0
BGD,4,0.024780107682899375,,2,1,1,0
BGD,5,,,0,0,0,0
BGD,6,-0.0005392259863155268,,1,0,1,0
BGD,8,,,0,0,0,0
BGD,9,,,0,0,0,0
BGD,10,0.011892982487166887,,1,1,0,0
BGD,11,,,0,0,0,0
BGD,12,0.0007530042080778292,0.0,4,0,4,0
BGD,13,0.0651745140849842,,2,1,1,0
BGD,14,0.02576419193815655,0.6,5,3,2,0
BGD,15,0.023992468626240528,0.42857142857142855,7,4,2,1
BGD,16,0.017548144241961557,0.4,5,3,1,1
BGD,17,0.010542658686998647,,2,1,1,0
BGD,18,0.020912327034511666,0.3333333333333333,3,1,2,0
BGD,19,,,0,0,0,0
BGD,20,0.029789395502866568,0.25,4,2,1,1
BGD,21,0.0014665516423098938,0.2222222222222222,9,3,5,1
BGD,22,-0.010735226962562176,0.25,8,3,4,1
BGD,23,-0.014441852358742333,0.25,8,5,0,3
BGD,24,0.03629971403190194,0.6666666666666666,6,4,2,0
BGD,25,0.014531428559921405,0.3333333333333333,3,1,2,0
BGR,1,-0.008051359695192686,-0.4,5,0,3,2
BGR,2,0.0004997314344717756,0.0,5,0,5,0
BGR,3,,,0,0,0,0
BGR,4,-0.010462047499792201,,2,0,1,1
BGR,5,,,0,0,0,0
BGR,6,-0.005365191535447705,,1,0,1,0
BGR,8,,,0,0,0,0
BGR,9,,,0,0,0,0
BGR,10,-0.004982195366245603,,1,0,1,0
BGR,11,,,0,0,0,0
BGR,12,0.005489830610705516,0.2,5,1,4,0
BGR,13,2.49071446295812e-17,,2,0,2,0
BGR,14,-0.009539334353278583,-0.4,5,0,3,2
BGR,15,-0.01238482423583733,-0.2857142857142857,7,0,5,2
BGR,16,-0.010614651501132841,-0.4,5,0,3,2
BGR,17,-0.004547795756496632,,2,0,2,0
BGR,18,-0.0229934689326181,-0.75,4,0,1,3
BGR,19,0.0053532449731916835,0.2,5,2,2,1
BGR,20,-0.014721756655105238,-0.5555555555555556,9,0,4,5
BGR,21,-0.012103820090891329,-0.5555555555555556,9,0,4,5
BGR,22,-0.007956362099146954,-0.375,8,0,5,3
BGR,23,-0.017086026355617984,-0.25,8,1,4,3
BGR,24,0.009698276859348124,0.16666666666666666,6,2,3,1
BGR,25,-0.01727909371215689,-0.6666666666666666,3,0,1,2
BHR,1,0.014652784267000198,0.4,5,2,3,0
BHR,2,-0.00028046934686863157,0.0,4,0,4,0
BHR,3,,,0,0,0,0
BHR,4,8.1698010841855365e-19,,1,0,1,0
BHR,5,,,0,0,0,0
BHR,6,,,0,0,0,0
BHR,8,,,0,0,0,0
BHR,9,,,0,0,0,0
BHR,10,-1.0898474213977477e-17,,1,0,1,0
BHR,11,,,0,0,0,0
BHR,12,6.36979241434246e-20,,2,0,2,0
BHR,13,0.04753872577998035,,2,2,0,0
