iso3,category,year,category_score
FJI,Economic and fiscal governance,2005,0.3861374266
FJI,Political foundations,2005,0.4318447502
FJI,Rule of law,2005,0.4846396132
FJI,State capacity,2005,0.5298531011
FRA,Accountability,2005,0.6415857629
FRA,Economic and fiscal governance,2005,0.6335732211
FRA,Political foundations,2005,0.5973801116
FRA,Rule of law,2005,0.7014994319
FRA,State capacity,2005,0.663103834
FRO,Accountability,2005,0.5037558685
FRO,Economic and fiscal governance,2005,0.2347975158
FRO,Political foundations,2005,0.5457746479
FRO,State capacity,2005,0.6473266031
FSM,Accountability,2005,0.6029047728
FSM,Economic and fiscal governance,2005,0.3755695082
FSM,Political foundations,2005,0.5797938612
FSM,Rule of law,2005,0.6286345505
FSM,State capacity,2005,0.4336529539
GAB,Accountability,2005,0.4453919641
GAB,Economic and fiscal governance,2005,0.3796373152
GAB,Political foundations,2005,0.4822317353
GAB,Rule of law,2005,0.4066382067
GAB,State capacity,2005,0.440788232
GBR,Accountability,2005,0.6390615615
GBR,Economic and fiscal governance,2005,0.5775966919
GBR,Political foundations,2005,0.5872887057
GBR,Rule of law,2005,0.6833922999
GBR,State capacity,2005,0.6644011056
GEO,Accountability,2005,0.4973814089
GEO,Economic and fiscal governance,2005,0.4758854445
GEO,Political foundations,2005,0.5248135793
GEO,Rule of law,2005,0.492473032
GEO,State capacity,2005,0.5025391091
GHA,Accountability,2005,0.5909548023
GHA,Economic and fiscal governance,2005,0.461225455
GHA,Political foundations,2005,0.5171051059
GHA,Rule of law,2005,0.5471686847
GHA,State capacity,2005,0.4260293309
GIB,Accountability,2005,0.5037558685
GIB,Economic and fiscal governance,2005,0.1450286192
GIB,Political foundations,2005,0.5457746479
GIB,State capacity,2005,0.6622162033
GIN,Accountability,2005,0.3669648446
GIN,Economic and fiscal governance,2005,0.4021593102
GIN,Political foundations,2005,0.376847907
GIN,Rule of law,2005,0.300220877
GIN,State capacity,2005,0.2909286293
GMB,Accountability,2005,0.3238723641
GMB,Economic and fiscal governance,2005,0.3830584784
GMB,Political foundations,2005,0.4525156501
GMB,Rule of law,2005,0.4034837128
GMB,State capacity,2005,0.3277248743
GNB,Accountability,2005,0.4341957671
GNB,Economic and fiscal governance,2005,0.3436508002
GNB,Political foundations,2005,0.3808776446
GNB,Rule of law,2005,0.3896126515
GNB,State capacity,2005,0.3002292159
GNQ,Accountability,2005,0.2478813783
GNQ,Economic and fiscal governance,2005,0.2524124083
GNQ,Political foundations,2005,0.3488535164
GNQ,Rule of law,2005,0.2968665257
GNQ,State capacity,2005,0.3065922241
GRC,Accountability,2005,0.6185633213
GRC,Economic and fiscal governance,2005,0.5627120918
GRC,Political foundations,2005,0.6266475527
GRC,Rule of law,2005,0.6268346821
GRC,State capacity,2005,0.6249851066
GRD,Accountability,2005,0.6029047728
GRD,Economic and fiscal governance,2005,0.3765167971
GRD,Political foundations,2005,0.5476398848
GRD,Rule of law,2005,0.5688950263
GRD,State capacity,2005,0.5807598788
GRL,Accountability,2005,0.5037558685
GRL,Economic and fiscal governance,2005,0.2650405143
GRL,Political foundations,2005,0.5457746479
GRL,Rule of law,2005,0.1362721417
GRL,State capacity,2005,0.501485739
GTM,Accountability,2005,0.4757292283
GTM,Economic and fiscal governance,2005,0.5402663628
GTM,Political foundations,2005,0.4230074364
GTM,Rule of law,2005,0.3773033863
GTM,State capacity,2005,0.4446021545
GUM,Accountability,2005,0.5037558685
GUM,Economic and fiscal governance,2005,0.4669215811
GUM,Political foundations,2005,0.5642587096
GUM,Rule of law,2005,0.4080112721
GUM,State capacity,2005,0.5241227793
GUY,Accountability,2005,0.4788085903
GUY,Economic and fiscal governance,2005,0.4362592976
GUY,Political foundations,2005,0.5033644434
GUY,Rule of law,2005,0.5004236213
GUY,State capacity,2005,0.5167572522
HKG,Accountability,2005,0.5362434133
HKG,Economic and fiscal governance,2005,0.6409604848
HKG,Political foundations,2005,0.550380817
HKG,Rule of law,2005,0.7117663742
HKG,State capacity,2005,0.4878188221
HND,Accountability,2005,0.4552198423
HND,Economic and fiscal governance,2005,0.4490863308
HND,Political foundations,2005,0.3851970338
HND,Rule of law,2005,0.4077468153
HND,State capacity,2005,0.4060349385
HRV,Accountability,2005,0.5513020872
HRV,Economic and fiscal governance,2005,0.5113615774
HRV,Political foundations,2005,0.5399383296
HRV,Rule of law,2005,0.5965430783
HRV,State capacity,2005,0.5867015498
HTI,Accountability,2005,0.4265480533
HTI,Economic and fiscal governance,2005,0.4239110919
HTI,Political foundations,2005,0.3681413891
HTI,Rule of law,2005,0.3495164156
HTI,State capacity,2005,0.324576467
HUN,Accountability,2005,0.5869275013
HUN,Economic and fiscal governance,2005,0.6032935418
HUN,Political foundations,2005,0.6074694339
HUN,Rule of law,2005,0.6181806922
HUN,State capacity,2005,0.645356274
IDN,Accountability,2005,0.5389232264
IDN,Economic and fiscal governance,2005,0.446933647
IDN,Political foundations,2005,0.4328035607
IDN,Rule of law,2005,0.4668309591
IDN,State capacity,2005,0.4669451
IMN,Accountability,2005,0.5037558685
IMN,Economic and fiscal governance,2005,0.0205399061
IMN,Political foundations,2005,0.5457746479
IMN,State capacity,2005,0.628747054
IND,Accountability,2005,0.5533912613
IND,Economic and fiscal governance,2005,0.3832258673
IND,Political foundations,2005,0.47891554
IND,Rule of law,2005,0.4736465706
IND,State capacity,2005,0.4473138295
IRL,Accountability,2005,0.6371256996
IRL,Economic and fiscal governance,2005,0.6474173499
IRL,Political foundations,2005,0.6236633793
IRL,Rule of law,2005,0.6986454785
IRL,State capacity,2005,0.6225370059
IRN,Accountability,2005,0.342914943
IRN,Economic and fiscal governance,2005,0.2365946168
IRN,Political foundations,2005,0.4055636177
IRN,Rule of law,2005,0.3887269292
IRN,State capacity,2005,0.4864087568
IRQ,Accountability,2005,0.4230467669
IRQ,Economic and fiscal governance,2005,0.316582132
IRQ,Political foundations,2005,0.3347700922
IRQ,Rule of law,2005,0.3559569442
IRQ,State capacity,2005,0.2263333299
ISL,Accountability,2005,0.6303814172
ISL,Economic and fiscal governance,2005,0.5893185797
ISL,Political foundations,2005,0.6442681475
ISL,Rule of law,2005,0.7349465127
ISL,State capacity,2005,0.6863887815
ISR,Accountability,2005,0.5673994739
ISR,Economic and fiscal governance,2005,0.5319325324
ISR,Political foundations,2005,0.4868362759
ISR,Rule of law,2005,0.618300772
ISR,State capacity,2005,0.6336326899
ITA,Accountability,2005,0.6379057961
ITA,Economic and fiscal governance,2005,0.6290637443
ITA,Political foundations,2005,0.6250081997
ITA,Rule of law,2005,0.6140623041
ITA,State capacity,2005,0.5927082919
JAM,Accountability,2005,0.5621067499
JAM,Economic and fiscal governance,2005,0.4444007753
JAM,Political foundations,2005,0.5671455794
JAM,Rule of law,2005,0.5650325879
JAM,State capacity,2005,0.4969215952
JOR,Accountability,2005,0.4038352524
JOR,Economic and fiscal governance,2005,0.4722734453
JOR,Political foundations,2005,0.4590747767
JOR,Rule of law,2005,0.5020707078
JOR,State capacity,2005,0.517349887
JPN,Accountability,2005,0.6133321466
JPN,Economic and fiscal governance,2005,0.5703377159
JPN,Political foundations,2005,0.6158667333
JPN,Rule of law,2005,0.6905885326
JPN,State capacity,2005,0.6611298784
KAZ,Accountability,2005,0.3458405318
KAZ,Economic and fiscal governance,2005,0.3746839016
KAZ,Political foundations,2005,0.4080574937
KAZ,Rule of law,2005,0.3842918232
KAZ,State capacity,2005,0.4944801498
KEN,Accountability,2005,0.5142122367
KEN,Economic and fiscal governance,2005,0.4440630601
KEN,Political foundations,2005,0.4581997024
KEN,Rule of law,2005,0.4183531967
KEN,State capacity,2005,0.4019763038
KGZ,Accountability,2005,0.3927903914
KGZ,Economic and fiscal governance,2005,0.43945098
KGZ,Political foundations,2005,0.4297110965
KGZ,Rule of law,2005,0.3959334059
KGZ,State capacity,2005,0.4762711553
KHM,Accountability,2005,0.3563166678
KHM,Economic and fiscal governance,2005,0.3972572184
KHM,Political foundations,2005,0.3457889604
KHM,Rule of law,2005,0.359880244
KHM,State capacity,2005,0.4261387211
KIR,Accountability,2005,0.6029047728
KIR,Economic and fiscal governance,2005,0.2135169986
KIR,Political foundations,2005,0.5900751719
KIR,Rule of law,2005,0.5505799049
KIR,State capacity,2005,0.4221376148
KNA,Accountability,2005,0.5287462524
KNA,Economic and fiscal governance,2005,0.4254420043
KNA,Political foundations,2005,0.5866563737
KNA,Rule of law,2005,0.5348281715
KNA,State capacity,2005,0.6397303298
KOR,Accountability,2005,0.6236668271
KOR,Economic and fiscal governance,2005,0.5242835836
KOR,Political foundations,2005,0.6053048751
KOR,Rule of law,2005,0.6534262586
KOR,State capacity,2005,0.6504750589
KWT,Accountability,2005,0.4401669166
KWT,Economic and fiscal governance,2005,0.4291697869
KWT,Political foundations,2005,0.4660073336
KWT,Rule of law,2005,0.5229048675
KWT,State capacity,2005,0.5762562751
LAO,Accountability,2005,0.2270387698
LAO,Economic and fiscal governance,2005,0.3071962765
LAO,Political foundations,2005,0.3771296952
LAO,Rule of law,2005,0.3286939259
LAO,State capacity,2005,0.3746894189
LBN,Accountability,2005,0.4309113488
LBN,Economic and fiscal governance,2005,0.42963241
LBN,Political foundations,2005,0.4085875353
LBN,Rule of law,2005,0.3991731195
LBN,State capacity,2005,0.2967198782
LBR,Accountability,2005,0.5193106654
LBR,Economic and fiscal governance,2005,0.3825837261
LBR,Political foundations,2005,0.4862023803
LBR,Rule of law,2005,0.46243712
LBR,State capacity,2005,0.2968068924
LBY,Accountability,2005,0.205100535
LBY,Economic and fiscal governance,2005,0.1746711227
LBY,Political foundations,2005,0.4373378377
