country_name,year,civicus_score,civicus_rating
Libya,2025,27.0,Repressed
Liechtenstein,2023,93.06,Open
Liechtenstein,2024,95.0,Open
Liechtenstein,2025,91.58,Open
Lithuania,2023,91.14,Open
Lithuania,2024,83.0,Open
Lithuania,2025,85.1,Open
Luxembourg,2023,89.72,Open
Luxembourg,2024,94.0,Open
Luxembourg,2025,93.68,Open
Madagascar,2023,46.84,Obstructed
Madagascar,2024,41.0,Obstructed
Madagascar,2025,34.85,Repressed
Malawi,2022,46.85,Obstructed
Malawi,2023,60.09,Obstructed
Malawi,2024,58.0,Obstructed
Malawi,2025,49.78,Obstructed
Malaysia,2022,44.5,Obstructed
Malaysia,2023,45.65,Obstructed
Malaysia,2024,50.0,Obstructed
Malaysia,2025,49.74,Obstructed
Maldives,2022,49.75,Obstructed
Maldives,2023,44.23,Obstructed
Maldives,2024,51.0,Obstructed
Maldives,2025,50.18,Obstructed
Mali,2023,31.89,Repressed
Mali,2024,30.0,Repressed
Mali,2025,26.39,Repressed
Malta,2023,79.91,Narrowed
Malta,2024,80.0,Narrowed
Malta,2025,77.99,Narrowed
Marshall Islands,2023,92.78,Open
Marshall Islands,2024,96.0,Open
Marshall Islands,2025,89.68,Open
Mauritania,2023,38.88,Repressed
Mauritania,2024,40.0,Repressed
Mauritania,2025,43.64,Obstructed
Mauritius,2023,77.3,Narrowed
Mauritius,2024,76.0,Narrowed
Mauritius,2025,77.14,Narrowed
Mexico,2022,31.44,Repressed
Mexico,2023,40.21,Repressed
Mexico,2024,40.0,Repressed
Mexico,2025,40.01,Repressed
Micronesia,2023,89.68,Open
Micronesia,2024,90.0,Open
Micronesia,2025,89.68,Open
Moldova,2023,75.22,Narrowed
Moldova,2024,71.0,Narrowed
Moldova,2025,72.08,Narrowed
Monaco,2023,90.71,Open
Monaco,2024,91.0,Open
Monaco,2025,87.62,Open
Mongolia,2022,65.29,Narrowed
Mongolia,2023,66.99,Narrowed
Mongolia,2024,60.0,Obstructed
Mongolia,2025,59.33,Obstructed
Montenegro,2023,78.14,Narrowed
Montenegro,2024,76.0,Narrowed
Montenegro,2025,76.59,Narrowed
Morocco,2023,45.11,Obstructed
Morocco,2024,43.0,Obstructed
Morocco,2025,41.65,Obstructed
Mozambique,2023,39.35,Repressed
Mozambique,2024,39.0,Repressed
Mozambique,2025,27.28,Repressed
Myanmar,2022,32.77,Repressed
Myanmar,2023,11.11,Closed
Myanmar,2024,10.0,Closed
Myanmar,2025,10.09,Closed
Namibia,2022,71.66,Narrowed
Namibia,2023,70.94,Narrowed
Namibia,2024,80.0,Narrowed
Namibia,2025,80.15,Narrowed
Nauru,2023,59.78,Obstructed
Nauru,2024,59.0,Obstructed
Nauru,2025,60.0,Obstructed
Nepal,2023,41.23,Obstructed
Nepal,2024,50.0,Obstructed
Nepal,2025,47.55,Obstructed
Netherlands,2023,81.78,Open
Netherlands,2024,76.0,Narrowed
Netherlands,2025,75.29,Narrowed
New Zealand,2023,90.5,Open
New Zealand,2024,89.0,Open
New Zealand,2025,92.24,Open
Nicaragua,2022,19.86,Closed
Nicaragua,2023,9.07,Closed
Nicaragua,2024,8.0,Closed
Nicaragua,2025,5.0,Closed
Niger,2022,40.79,Obstructed
Niger,2023,34.84,Repressed
Niger,2024,36.0,Repressed
Niger,2025,31.66,Repressed
Nigeria,2022,35.37,Repressed
Nigeria,2023,31.92,Repressed
Nigeria,2024,31.0,Repressed
Nigeria,2025,36.23,Repressed
North Korea,2022,4.53,Closed
North Korea,2023,2.97,Closed
North Korea,2024,3.0,Closed
