metric,final_method,method_source,direction,direction_flipped,pre_transform,baseline_mean,baseline_sd,baseline_n_obs,baseline_year_span,winsor,harmonize_rule
v2jupurge,zscore,rule,+,False,identity,0.8243481804949055,1.141418140066733,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2lgcrrpt,zscore,rule,+,False,identity,-0.0995049063336307,1.382241634006573,3363,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2lginvstp,zscore,rule,+,False,identity,0.44410184372256367,1.4209182811302337,3417,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2lgoppart,zscore,rule,+,False,identity,0.7243392804044007,1.4569883071298175,3363,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2lgotovst,zscore,rule,+,False,identity,0.634322128032739,1.33145064253587,3421,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2lgqstexp,zscore,rule,+,False,identity,0.7555286946179006,1.2125670366257366,3363,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2mebias,zscore,rule,+,False,identity,0.9083478893740902,1.302863152432252,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2mecenefm,zscore,rule,+,False,identity,0.6313927219796215,1.5242660418356975,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2mecorrpt,zscore,rule,+,False,identity,0.6901982532751092,1.3571950310302257,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2merange,zscore,rule,+,False,identity,0.9642631732168849,1.3302957629458267,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2pepwrses,zscore,rule,+,False,identity,0.4180550218340611,1.0298517928166406,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2pepwrsoc,zscore,rule,+,False,identity,0.807644250363901,1.1393394162695707,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2pscohesv,zscore,rule,+,False,identity,0.8113222707423581,1.1287546545781402,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2psoppaut,zscore,rule,+,False,identity,1.244832984762474,1.3108404770948845,3347,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2psprlnks,zscore,rule,+,False,identity,0.4148270742358079,1.3090126053462918,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2svdomaut,zscore,rule,+,False,identity,1.2812360989810772,0.7214626977990583,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2svstterr,zscore,rule,+,False,identity,91.59946979074567,10.141415355145753,3393,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_civlib,zscore,rule,+,False,identity,0.6943656477438136,0.24382776078132942,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_corr,zscore,rule,-,True,identity,0.49523260553129544,0.3062317562629098,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_egal,zscore,rule,+,False,identity,0.6111802037845706,0.21582709631393915,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_freexp_altinf,zscore,rule,+,False,identity,0.6694084425036391,0.2756788598296265,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_partip,zscore,rule,+,False,identity,0.49024308588064053,0.17984545364691384,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2x_polyarchy,zscore,rule,+,False,identity,0.5231662299854439,0.2557541794676877,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2xcl_prpty,zscore,rule,+,False,identity,0.7270457059679767,0.19349004828240376,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2xeg_eqaccess,zscore,rule,+,False,identity,0.6179010189228529,0.23225201788086422,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2xlg_legcon,zscore,rule,+,False,identity,0.591913666959321,0.2974156018928214,3417,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
vdem_regime_duration,zscore,rule,+,False,identity,16.782532751091704,9.665234325922093,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
wb_carbon_coverage_pct,zscore,rule,+,False,identity,44.09371146732429,14.495752935925323,811,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
wb_carbon_price_usd,zscore,rule,+,False,identity,28.72453257020182,28.089101157963253,768,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
wb_carbon_pricing_exists,binary,rule,+,False,,,,7668,,,identity (already 0-1)
wb_carbon_revenue_pct_gdp,log1p_zscore,reviewed,+,False,log1p,0.11614693811563229,0.139056382573353,431,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wbl_enforcement_perceptions,zscore,rule,+,False,identity,53.34539772727273,16.430391181809018,176,2025-2025,3.0,"(clip(z,+/-3)+3)/6"
wbl_legal_framework,zscore,rule,+,False,identity,66.99106382978725,18.403640884467304,188,2025-2025,3.0,"(clip(z,+/-3)+3)/6"
wbl_supportive_framework,zscore,rule,+,False,identity,46.82287234042553,19.491240428761536,188,2025-2025,3.0,"(clip(z,+/-3)+3)/6"
wdi_education_index,zscore,rule,+,False,identity,0.0663880348407085,0.8116623568255998,3187,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
wdi_hci_plus_overall,zscore,rule,+,False,identity,182.60145867475674,52.2631730017227,575,2010-2025,3.0,"(clip(z,+/-3)+3)/6"
wdi_health_index,zscore,rule,+,False,identity,0.07368682177936156,0.848342907598239,4260,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wdi_infrastructure_index,zscore,reviewed,+,False,identity,0.05006485889449227,0.9734422611798095,4229,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wdi_lpi_overall,zscore,rule,+,False,identity,2.8743383873704054,0.5856014425260444,1061,2007-2022,3.0,"(clip(z,+/-3)+3)/6"
wdi_social_protection_index,zscore,rule,+,False,identity,-0.02194147298196979,0.8422214215078643,576,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
wdi_tariff_rate_simple_mean,zscore,rule,-,True,identity,7.690776566757494,5.336047884565118,2936,2003-2022,3.0,"(clip(z,+/-3)+3)/6"
wgi_government_effectiveness,zscore,rule,+,False,identity,0.0266392553584816,0.9636396078026348,4003,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wgi_political_stability,zscore,rule,+,False,identity,0.0002751633935201942,0.9898202934057285,4043,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wgi_regulatory_quality,zscore,rule,+,False,identity,0.025344180054986686,0.9542317923686917,4001,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
wjp_f2_absence_corruption,zscore,rule,+,False,identity,0.5211583469428258,0.1906182944490086,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f3_open_government,zscore,rule,+,False,identity,0.527202725825796,0.15272469876303127,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f4_fundamental_rights,zscore,rule,+,False,identity,0.5780883534680022,0.16060407023137308,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f5_order_security,zscore,rule,+,False,identity,0.7208615906437814,0.1292310005986947,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f6_5_no_expropriation,zscore,rule,+,False,identity,0.5713944595703899,0.16123933732022594,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f6_regulatory_enforcement,zscore,rule,+,False,identity,0.5407462579834139,0.14974946075755313,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f7_civil_justice,zscore,rule,+,False,identity,0.5490416089639127,0.13585300156499874,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
wjp_f8_criminal_justice,zscore,rule,+,False,identity,0.4820858672965651,0.1617285233642536,1484,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
