country_code,year,wb_carbon_pricing_exists,wb_carbon_price_usd,wb_carbon_revenue_usd_m,wb_carbon_coverage_pct,wb_carbon_coverage_is_snapshot
COL,2022,1,5.013271992,112.8595884,20.0,1
COL,2023,1,5.035341621,124.3225487,20.0,1
COL,2024,1,6.678546744,133.0665206,20.0,1
COL,2025,1,6.536619117,,20.0,1
CYP,2005,1,19.04973,,40.0,1
CYP,2006,1,32.353992,,40.0,1
CYP,2007,1,1.251892,,40.0,1
CYP,2008,1,34.48332,,40.0,1
CYP,2009,1,15.550804,,40.0,1
CYP,2010,1,17.265976,,40.0,1
CYP,2011,1,23.75688,,40.0,1
CYP,2012,1,9.322488,,40.0,1
CYP,2013,1,6.04396,,40.0,1
CYP,2014,1,6.7571,,40.0,1
CYP,2015,1,7.689825,,40.0,1
CYP,2016,1,5.921776,,40.0,1
CYP,2017,1,5.644848,,40.0,1
CYP,2018,1,16.26372,,40.0,1
CYP,2019,1,24.505716,,40.0,1
CYP,2020,1,18.53652,,40.0,1
CYP,2021,1,49.779548,,40.0,1
CYP,2022,1,86.526108,,40.0,1
CYP,2023,1,96.298125,,40.0,1
CYP,2024,1,61.301547,,40.0,1
CYP,2025,1,70.370124,,40.0,1
CZE,2005,1,19.04973,,40.0,1
CZE,2006,1,32.353992,,40.0,1
CZE,2007,1,1.251892,,40.0,1
CZE,2008,1,34.48332,,40.0,1
CZE,2009,1,15.550804,,40.0,1
CZE,2010,1,17.265976,,40.0,1
CZE,2011,1,23.75688,,40.0,1
CZE,2012,1,9.322488,,40.0,1
CZE,2013,1,6.04396,,40.0,1
CZE,2014,1,6.7571,,40.0,1
CZE,2015,1,7.689825,,40.0,1
CZE,2016,1,5.921776,,40.0,1
CZE,2017,1,5.644848,,40.0,1
CZE,2018,1,16.26372,,40.0,1
CZE,2019,1,24.505716,,40.0,1
CZE,2020,1,18.53652,,40.0,1
CZE,2021,1,49.779548,,40.0,1
CZE,2022,1,86.526108,,40.0,1
CZE,2023,1,96.298125,,40.0,1
CZE,2024,1,61.301547,,40.0,1
CZE,2025,1,70.370124,,40.0,1
DEU,2005,1,19.04973,,40.0,1
DEU,2006,1,32.353992,,40.0,1
DEU,2007,1,1.251892,,40.0,1
DEU,2008,1,34.48332,,40.0,1
DEU,2009,1,15.550804,0.0,40.0,1
DEU,2010,1,17.265976,0.0,40.0,1
DEU,2011,1,23.75688,0.0,40.0,1
DEU,2012,1,9.322488,0.0,40.0,1
DEU,2013,1,6.04396,0.0,40.0,1
DEU,2014,1,6.7571,0.0,40.0,1
DEU,2015,1,7.689825,0.0,40.0,1
DEU,2016,1,5.921776,0.0,40.0,1
DEU,2017,1,5.644848,0.0,40.0,1
DEU,2018,1,16.26372,0.0,40.0,1
DEU,2019,1,24.505716,0.0,40.0,1
DEU,2020,1,18.53652,0.0,40.0,1
DEU,2021,1,39.572274,8537.207956,40.0,1
DEU,2022,1,59.841054,6675.073102,40.0,1
DEU,2023,1,64.4615625,11670.20513,40.0,1
DEU,2024,1,54.836023499999996,13933.16874,40.0,1
DEU,2025,1,59.458062,,40.0,1
DNK,1994,1,,527.1268568,64.0,1
DNK,1995,1,,593.8396078,64.0,1
DNK,1996,1,,629.3456033,64.0,1
DNK,1997,1,,546.2342939,64.0,1
DNK,1998,1,,598.8283793,64.0,1
DNK,1999,1,,628.899287,64.0,1
DNK,2000,1,,618.6533154,64.0,1
DNK,2001,1,,556.0927883,64.0,1
DNK,2002,1,,638.7294808,64.0,1
DNK,2003,1,,755.6197667,64.0,1
DNK,2004,1,,800.117857,64.0,1
DNK,2005,1,19.04973,831.0361602,64.0,1
DNK,2006,1,32.353992,883.1850564,64.0,1
DNK,2007,1,8.74020844,932.5494039,64.0,1
DNK,2008,1,26.932202675,1085.79769,64.0,1
