iso3,Accountability,Economic and fiscal governance,Political foundations,Rule of law,State capacity
COD,0.36984731446094754,0.3589776794172575,0.32028819816044773,0.2753026559411404,0.2608056620453598
COG,0.3290772209886457,0.31310418250772676,0.43897875976621226,0.3451019562510164,0.3278362189465799
COL,0.5519188202837174,0.5603976087628656,0.44636774179705696,0.45814001735556903,0.49922767750049474
COM,0.3738389416606445,0.35613509020079254,0.532606887723553,0.33267203209363266,0.35268069927868384
CPV,0.5844464738336711,0.46978941630362137,0.6235844579771992,0.5640689843233286,0.5035006894450436
CRI,0.6552574506539567,0.5967132271626,0.6307779591574108,0.6104929593961004,0.6109578572302542
CUB,0.2628500991278283,0.2919344872679093,0.5427698789683928,0.3789507462269023,0.46329537915011376
CUW,0.503755868544601,0.3316489736953015,0.5457746478873239,0.1428286056731922,0.5213092213533851
CYM,0.503755868544601,0.4251535444053946,0.5958116130192442,0.4061126648022373,0.6491747611138591
CYP,0.6023910237210613,0.6405385218191461,0.5852542375144012,0.6308990523101135,0.5582338161738604
CZE,0.6482189743848352,0.6543746682075171,0.6061434494290792,0.6787290051323507,0.6495128784036444
DEU,0.6935745914046383,0.7275000714051721,0.6616560974846573,0.7427485059177497,0.6961338470238716
DJI,0.34375078380466223,0.37547759915463813,0.4899834702546829,0.4123023837912374,0.3663975798188578
DMA,0.5503906760241927,0.4577917508283031,0.5756430553719594,0.5285859911413875,0.41839186601879247
DNK,0.716647633040545,0.6760528432059584,0.6945146847956838,0.7865942105894181,0.7083556517242274
DOM,0.5434887789315909,0.5490827839542034,0.5352174851617097,0.46964786023550803,0.516773889103522
DZA,0.3322836152101285,0.3177524366164804,0.47863200814729867,0.4123538715504256,0.45672596143818633
ECU,0.5044952807154109,0.4990386944268692,0.46004276937088584,0.4023770935609277,0.46880605307760564
EGY,0.2843470294209309,0.4104999960943049,0.4022095092294399,0.35965195640953135,0.49567500509524975
ESP,0.6272657137631911,0.6821448234343057,0.5809750267051637,0.6711594942178795,0.6483142466833863
EST,0.6869620924592335,0.6777853312293833,0.6165403430454677,0.7106052683737865,0.6795777188093449
ETH,0.35363873106959876,0.3430736683339049,0.3520183047677061,0.3483620938303473,0.3162940551638692
FIN,0.691939970164099,0.6617775575377927,0.6787902410736133,0.7341956189699059,0.7016257992391
FJI,0.532919568962228,0.5073599067405034,0.5059159531331284,0.48935832360306597,0.5124227020648028
FRA,0.6437298145188564,0.6995206466410133,0.605760726236887,0.6858506351062679,0.651368688133657
FRO,0.503755868544601,0.240986918028977,0.5457746478873239,,0.6965532260527731
FSM,0.558757124994682,0.33466143376010776,0.6046834394252749,0.6664483230227803,0.44028947381450584
GAB,0.4348417711779621,0.364784821370656,0.42956527370213377,0.46221793170219894,0.4214125236325932
GBR,0.6258104441745108,0.6701084496203765,0.5453306172692958,0.6783951596853679,0.6447219298264487
GEO,0.4666519863806224,0.5818037179423271,0.46022092473244314,0.5085553560260637,0.5216509804290412
GHA,0.5999394710651259,0.50615236250062,0.5464906396657353,0.5284052381771371,0.4773995990345796
GIB,0.503755868544601,0.4054274563229535,0.5457746478873239,0.991410307630843,0.6386361018682248
GIN,0.3753844245810313,0.39229437338160666,0.3796115705282228,0.3279321848183387,0.31876196734820306
GMB,0.5374109056195538,0.4188730446320473,0.5138252519730366,0.5421279797782237,0.4415785157501608
GNB,0.42166589426986206,0.3890390331532274,0.38786189275146776,0.38051345225653604,0.3247786403449616
GNQ,0.2503170119302999,0.2814396768718435,0.42686900000933325,0.2994793792923523,0.3485556287816225
GRC,0.5806935349424561,0.6347650869079492,0.5921431263255323,0.582248982520079,0.5816915758290997
GRD,0.5651640859600363,0.4393101159551744,0.599715566745015,0.5247854436060131,0.48822539969431616
GRL,0.503755868544601,0.5574816879256957,0.586539264902644,0.3589692369157011,0.5747565214897543
GTM,0.524868346301367,0.5658192837330003,0.4902551940173454,0.4143424577902673,0.4655622678314428
GUM,0.503755868544601,0.43020289423837954,0.5761093413409857,0.4093088294047143,0.6663624508253556
GUY,0.49280453273707964,0.46741534418393726,0.5071783116499382,0.4884685810759358,0.4523527182410172
HKG,0.36804206570587944,0.6233911284294901,0.5188406520796561,0.6417581244380741,0.4693828625055243
HND,0.4852034715907525,0.5047723629594937,0.4691326410082774,0.41540458469833297,0.4117267446289669
HRV,0.5919074042737549,0.5586929782051833,0.5877230678417895,0.6082782482544546,0.5831422078006143
HTI,0.40247964347948234,0.40241570404577226,0.31680341479599505,0.313723991302205,0.26603334700007686
HUN,0.4576298669789193,0.5348614142779966,0.5335501199983943,0.5118370893915822,0.6169961070627451
IDN,0.48660147602234494,0.5078728232907193,0.40485455872459,0.44034934016642185,0.5207919397820646
IMN,0.503755868544601,0.3566610148329325,0.5457746478873239,0.991410307630843,0.6779748782335475
IND,0.4407737292113478,0.4798060818022097,0.40876285970906556,0.44384388629444765,0.5000927465185285
IRL,0.6948782436307895,0.6876877434507205,0.6884773250792977,0.7458819620983119,0.6718363526645569
IRN,0.30800443727694965,0.28854421476316827,0.31636146573037394,0.35670358750955955,0.47413699851413416
IRQ,0.40787766315943486,0.3824393062682466,0.34767811800343235,0.3684734007952799,0.3901367831967252
ISL,0.6493849605947782,0.5661530958972899,0.6908622145039525,0.7281806606229483,0.6862562458994624
ISR,0.5544757721503476,0.639281571700566,0.41231839996260433,0.605026291244861,0.6368933783306912
ITA,0.6267811106664498,0.6576962905329159,0.6303710872254056,0.6085463695715401,0.5964413963848478
JAM,0.6040833561884603,0.4857807986923001,0.5809784094267865,0.5574620974133484,0.5284883800512625
JOR,0.45610277237692826,0.5589161018173843,0.48481625289530994,0.5437291494041909,0.545463986241476
JPN,0.6474747401874049,0.6670744834720029,0.6811364528898725,0.7132789987904236,0.671793860719643
KAZ,0.38252901706980974,0.5259945654898931,0.4657629707952629,0.42220246054965926,0.5439415204960201
KEN,0.5356693011143102,0.48018609649971916,0.38917220462713215,0.4474681968075946,0.4477904283395202
KGZ,0.40255783077239904,0.46132858855634973,0.47697234959324813,0.396944381655206,0.4999225703261123
KHM,0.271963933676278,0.4488584727605151,0.44186845623164994,0.3118257569412221,0.3839169898375135
KIR,0.5851879564858942,0.3248221082926291,0.5864401349555344,0.5297123309277741,0.39723728342145564
KNA,0.6198807173362775,0.4138197698971529,0.5704827996190082,0.5626571283716708,0.5298780588220806
KOR,0.6437666545572245,0.6389856529634731,0.612615870193331,0.6695852535463239,0.6797628381848175
KWT,0.4133564341309689,0.4697485200596257,0.5036313594118951,0.548664205488267,0.5482189364879787
LAO,0.2939369405849333,0.35258495357296976,0.4436521234593744,0.3707345368818652,0.42836659757301365
LBN,0.45669426946248276,0.44336638715947596,0.38295236590650983,0.39234922723927607,0.34495879645905675
LBR,0.5214014623572816,0.4095492638484282,0.5270610400512594,0.4338721452186343,0.35202905006548457
LBY,0.40007839488979563,0.2657449563780125,0.3590867731845228,0.3620224866603533,0.2641331034138967
LCA,0.5694915295033253,0.4222898002794984,0.5706637148254443,0.5593076048045349,0.5100764230765789
LIE,0.6025844458801669,0.741908308217222,0.6009288760891954,0.6801439044854768,0.6437363099099919
LKA,0.5499444972880821,0.46580703843264465,0.49126564123164396,0.5074013499739822,0.49458200429942195
LSO,0.5303052713229089,0.4431443580800387,0.5608528221955584,0.519651735595937,0.41776957999931097
LTU,0.6350366293260714,0.702235087381878,0.6303919007965016,0.6589882642996859,0.6368374399769976
LUX,0.6945470398834903,0.7468177840193956,0.6762056329281088,0.737533639276211,0.686836615365779
LVA,0.641199601562949,0.7367370245261605,0.5788732198358415,0.6741029441537261,0.6570010061782567
MAC,0.5921216559109634,0.5586978017055217,0.578682337857256,0.9166999600479424,0.5649107042535618
MAF,0.503755868544601,0.0205399061032863,0.5457746478873239,0.0840990811026768,0.6699282193236638
MAR,0.45417358230868626,0.49349076893324123,0.44935469404449757,0.46319963922863366,0.49243795829822634
