iso3,peers
NOR,"DNK,CHE,IRL,NLD,AUT,SGP,SWE,BEL,FIN,USA"
NPL,"PAK,MMR,TLS,BEN,SYR,TJK,ZMB,TGO,TZA,CMR"
NRU,"KAZ,ARG,SRB,MEX,CHN,MYS,ALB,MUS,RUS,CHL"
NZL,"AUS,CAN,ARE,KOR,FIN,JPN,FRA,ISR,BEL,CYP"
OMN,"BGR,TUR,ROU,CRI,PAN,SRB,HUN,HRV,KWT,SVK"
PAK,"NPL,MMR,BGD,BEN,IND,NGA,TLS,TJK,TZA,SYR"
PAN,"CRI,TTO,CHL,URY,OMN,BGR,ARG,MEX,ROU,DOM"
PER,"COL,DOM,BRA,ECU,JAM,GTM,PRY,ARG,MEX,BLR"
PHL,"VNM,IDN,LKA,IRN,PNG,KHM,UZB,MAR,BGD,VEN"
PLW,"PAN,OMN,CRI,TTO,BGR,TUR,CHL,RUS,ROU,SRB"
PNG,"KHM,LAO,ZWE,KGZ,NIC,CIV,PHL,HTI,BGD,AGO"
POL,"SVK,HUN,HRV,ROU,GRC,LVA,CZE,SAU,LTU,PRT"
PRT,"GRC,CZE,LTU,ESP,SVK,POL,HUN,EST,HRV,CYP"
PRY,"ECU,GTM,JAM,SLV,BOL,COL,PER,MNG,AZE,LBY"
PSE,"KGZ,EGY,ZWE,AGO,GHA,CIV,LBN,COG,NIC,IRN"
QAT,"ISR,ARE,DNK,NLD,AUT,SWE,AUS,BEL,FIN,NOR"
ROU,"BGR,HUN,POL,HRV,SVK,LVA,OMN,GRC,RUS,KAZ"
RUS,"TUR,KAZ,SRB,BGR,ROU,OMN,CHL,POL,HUN,ALB"
RWA,"BFA,MLI,TCD,SDN,GNB,UGA,LSO,ZMB,TGO,SYR"
SAU,"KWT,CZE,POL,BHR,LTU,EST,SVN,ARE,KOR,SVK"
SDN,"UGA,BFA,MLI,RWA,TZA,NGA,ZMB,TCD,GNB,ETH"
SEN,"CMR,GIN,BEN,KEN,COG,ZMB,TGO,ZWE,CIV,TZA"
SGP,"NOR,AUS,USA,CHE,DNK,IRL,NZL,QAT,NLD,CAN"
SLB,"LAO,TLS,KHM,PNG,MRT,MMR,SEN,BGD,GIN,NPL"
SLE,"LBR,GMB,NER,COD,TCD,MWI,ETH,RWA,LSO,BFA"
SLV,"BOL,PRY,GTM,ECU,JAM,HND,JOR,LBY,UKR,COL"
SMR,"ISR,DEU,BEL,GBR,AUT,SWE,FIN,CAN,AUS,ARE"
SOM,"MWI,MOZ,MDG,NER,YEM,CAF,SLE,COD,LBR,TCD"
SRB,"KAZ,ALB,BGR,RUS,BLR,OMN,BIH,ROU,MKD,GEO"
