iso3,concept_id,bucket,subtotal,w_nominal,w_renorm,contribution,n_present,present
CIV,8,fiscal,0.565265478478145,0.4,0.4,0.226106191391258,5,True
CIV,8,monetary,0.6335000483928904,0.4,0.4,0.25340001935715617,2,True
CMR,8,external,0.33944877186155115,0.2,0.2,0.06788975437231023,4,True
CMR,8,fiscal,0.4197609094281214,0.4,0.4,0.16790436377124857,5,True
CMR,8,monetary,0.6852183006924606,0.4,0.4,0.27408732027698424,1,True
COD,8,external,0.24008560869256632,0.2,0.2,0.04801712173851327,4,True
COD,8,fiscal,0.33536534187701866,0.4,0.4,0.13414613675080747,5,True
COD,8,monetary,0.5690292607294095,0.4,0.4,0.2276117042917638,2,True
COG,8,external,0.24426094556705713,0.2,0.2,0.04885218911341143,4,True
COG,8,fiscal,0.35204918032786886,0.4,0.4,0.14081967213114754,2,True
COG,8,monetary,0.6852183006924606,0.4,0.4,0.27408732027698424,1,True
COL,8,external,0.46864687711904046,0.2,0.2,0.0937293754238081,4,True
COL,8,fiscal,0.5421150556698081,0.4,0.4,0.21684602226792327,7,True
COL,8,monetary,0.6289286292305848,0.4,0.4,0.25157145169223394,2,True
COM,8,external,0.5488195496533463,0.2,0.2,0.10976390993066927,4,True
COM,8,fiscal,0.2125916946463311,0.4,0.4,0.08503667785853244,1,True
COM,8,monetary,0.2488409710356922,0.4,0.4,0.09953638841427688,1,True
CPV,8,external,0.7473924829792988,0.2,0.2,0.14947849659585977,4,True
CPV,8,fiscal,0.41550537026568685,0.4,0.4,0.16620214810627476,3,True
CPV,8,monetary,0.44862267298616,0.4,0.4,0.17944906919446402,1,True
CRI,8,external,0.7258935128226657,0.2,0.2,0.14517870256453314,4,True
CRI,8,fiscal,0.6000768951864495,0.4,0.4,0.2400307580745798,7,True
CRI,8,monetary,0.6334026825765123,0.4,0.4,0.25336107303060496,2,True
CUB,8,external,,0.2,0.0,0.0,0,False
CUB,8,fiscal,,0.4,0.0,0.0,0,False
CUB,8,monetary,0.1593546670047506,0.4,1.0,0.1593546670047506,1,True
CUW,8,external,0.43279518645634507,0.2,0.3333333333333333,0.14426506215211501,3,True
CUW,8,fiscal,,0.4,0.0,0.0,0,False
CUW,8,monetary,0.5486086606209098,0.4,0.6666666666666666,0.36573910708060653,1,True
CYP,8,external,0.5582560300408055,0.2,0.2,0.1116512060081611,4,True
CYP,8,fiscal,0.5510338560102618,0.4,0.4,0.2204135424041047,4,True
CYP,8,monetary,0.7111487443177932,0.4,0.4,0.28445949772711726,2,True
CZE,8,external,0.529590736498628,0.2,0.2,0.1059181472997256,4,True
CZE,8,fiscal,0.5704476879644809,0.4,0.4,0.22817907518579236,5,True
CZE,8,monetary,0.6555990570986301,0.4,0.4,0.26223962283945207,2,True
DEU,8,external,0.5931022090049175,0.2,0.2,0.11862044180098351,4,True
DEU,8,fiscal,0.8247919326124794,0.4,0.4,0.3299167730449918,5,True
DEU,8,monetary,0.7227293248394444,0.4,0.4,0.28909172993577775,2,True
DJI,8,external,0.6038617309507208,0.2,0.3333333333333333,0.20128724365024026,4,True
DJI,8,fiscal,0.42929960048573984,0.4,0.6666666666666666,0.2861997336571599,2,True
DJI,8,monetary,,0.4,0.0,0.0,0,False
DMA,8,external,0.3853044730295732,0.2,0.2,0.07706089460591464,4,True
DMA,8,fiscal,0.41550537026568685,0.4,0.4,0.16620214810627476,3,True
DMA,8,monetary,0.3651731662759164,0.4,0.4,0.14606926651036656,1,True
DNK,8,external,0.5917020788180734,0.2,0.2,0.11834041576361468,4,True
DNK,8,fiscal,0.6176322166659994,0.4,0.4,0.2470528866663998,4,True
DNK,8,monetary,0.5157965581134909,0.4,0.4,0.20631862324539638,2,True
DOM,8,external,0.5931022090049175,0.2,0.2,0.11862044180098351,4,True
DOM,8,fiscal,0.6093554440883217,0.4,0.4,0.24374217763532868,6,True
DOM,8,monetary,0.6393684361785751,0.4,0.4,0.25574737447143003,2,True
DZA,8,external,0.33585557330129223,0.2,0.2,0.06717111466025845,4,True
DZA,8,fiscal,0.2911910267716133,0.4,0.4,0.11647641070864533,1,True
DZA,8,monetary,0.4824666002534658,0.4,0.4,0.19298664010138633,2,True
ECU,8,external,0.5249920262397856,0.2,0.2,0.10499840524795712,4,True
ECU,8,fiscal,0.5948568897008364,0.4,0.4,0.23794275588033456,5,True
ECU,8,monetary,0.5253172643744338,0.4,0.4,0.21012690574977355,2,True
EGY,8,external,0.6265303496536808,0.2,0.2,0.12530606993073617,4,True
EGY,8,fiscal,0.5374602081100285,0.4,0.4,0.21498408324401141,1,True
EGY,8,monetary,0.4604497605676836,0.4,0.4,0.18417990422707345,1,True
