country_code,supervisory_power,supervisory_independence,capital_stringency,private_monitoring,resolution_regime,provisioning,liquidity_concentration,macroprudential,supervisory_capacity,brss_regstringency,brss_coverage,brss_reliable
MSR,0.4,0.6667,,0.8571,1.0,1.0,1.0,0.6667,0.875,0.7735,0.464,False
MAR,1.0,0.5,0.8875,0.8182,0.2857,0.8333,0.8,0.8571,0.94,0.7416,1.0,True
MOZ,0.6667,0.5,0.2556,0.5455,1.0,0.6667,0.6,0.4,0.6,0.5962,0.857,True
NAM,0.6667,0.25,0.5201,0.9091,0.2857,1.0,0.2,0.7143,0.63,0.5715,1.0,True
NPL,0.5,1.0,0.6802,0.3636,0.2857,0.6,1.0,0.4286,1.0,0.6026,0.982,True
NLD,0.3333,0.5,0.8,0.8182,0.4286,0.5,0.8,0.8571,,0.6134,0.964,True
NZL,0.6667,0.75,0.7861,0.5455,0.4286,0.5,0.4,0.5714,0.805,0.6011,1.0,True
NIC,0.3333,0.25,0.5979,1.0,0.2857,0.8,0.8,0.4286,0.7834,0.5412,0.982,True
NER,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
NGA,0.8333,1.0,0.5913,0.9091,0.6667,1.0,0.6,1.0,0.95,0.8542,0.946,True
NOR,1.0,0.75,0.8,0.6364,0.7143,0.4,0.6,0.5714,0.85,0.7139,0.982,True
OMN,0.8333,0.5,0.8695,0.9091,0.4286,1.0,0.8,0.8571,0.575,0.7358,1.0,True
PAK,0.5,0.75,0.7343,0.7273,0.2857,0.8333,0.6,0.7143,0.9,0.6444,1.0,True
PLW,0.6667,0.5,0.6125,0.5455,0.2857,0.8333,0.4,0.1429,1.0,0.5091,1.0,True
PAN,0.8333,0.25,0.5222,1.0,0.5714,0.8333,0.4,0.8571,0.47,0.6607,1.0,True
PNG,0.6,0.6667,0.6733,0.5455,0.1667,0.6667,0.4,0.7143,0.415,0.5387,0.893,True
PRY,0.6667,0.5,0.0806,0.7273,0.1429,0.8333,0.4,0.3333,0.57,0.4732,0.982,True
PER,0.6667,0.25,0.7674,0.9091,0.7143,1.0,0.8,0.7143,0.733,0.7006,1.0,True
PHL,0.8333,0.75,0.6771,0.6364,0.4286,1.0,0.8,0.8571,0.97,0.747,1.0,True
POL,0.8,0.75,0.7861,0.8182,0.8571,0.8333,0.8,0.5714,0.96,0.7838,0.964,True
PRT,0.8333,0.5,0.7861,0.7273,0.7143,0.5,0.8,0.4286,0.42,0.6366,1.0,True
QAT,0.8333,0.75,0.9095,0.9091,1.0,0.8333,1.0,0.8571,0.37,0.8437,0.929,True
ROU,0.6667,0.5,0.8,0.8182,0.5714,0.3333,0.6,0.8571,0.52,0.6486,1.0,True
RUS,0.6667,0.75,0.7861,0.5455,0.6,0.8333,0.8,0.7143,0.979,0.7108,0.946,True
RWA,1.0,0.5,0.4266,0.9091,0.8571,0.8333,0.6,0.5714,0.975,0.7507,0.946,True
WSM,0.6667,0.5,0.6024,0.8182,0.5714,1.0,0.6,0.7143,0.7,0.6745,1.0,True
SMR,0.8333,0.5,0.3218,0.7273,0.2,0.5,0.4,0.7143,0.435,0.5433,0.929,True
SAU,0.6667,0.3333,0.8389,0.9091,0.0,0.8333,0.8,1.0,0.48,0.6265,0.964,True
SEN,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
SRB,0.8333,0.75,0.6125,0.7273,0.5714,0.8333,0.6,0.8571,0.7175,0.7315,1.0,True
SYC,0.5,0.5,0.2514,0.6364,0.0,0.5,0.4,0.2857,0.475,0.3908,1.0,True
SGP,0.5,0.75,0.8479,0.7273,0.7143,1.0,0.8,0.8571,0.54,0.7347,1.0,True
SVK,1.0,0.75,0.8,0.6364,0.4286,1.0,0.6,0.7143,0.51,0.712,1.0,True
SVN,1.0,0.5,0.8,0.9091,0.7143,0.6667,0.8,1.0,0.675,0.7992,0.964,True
ZAF,0.6667,0.5,0.8398,0.8182,0.2857,0.6667,0.4,0.2857,0.67,0.5492,1.0,True
ESP,1.0,0.5,0.7583,0.8182,0.5,1.0,0.8,0.7143,0.59,0.7295,0.982,True
LKA,0.6667,0.5,0.6979,0.8182,0.1429,0.8333,0.6,0.7143,0.54,0.5968,1.0,True
SUR,0.6667,0.5,0.2757,0.5455,0.3333,0.8333,0.6,0.4286,0.71,0.5262,0.982,True
SWE,0.5,0.5,0.7861,0.8182,0.8,0.6,0.6,1.0,0.9,0.723,0.911,True
CHE,0.8333,0.5,0.7722,0.7273,0.7143,0.8333,0.6,0.5714,0.825,0.6945,1.0,True
STP,0.8333,0.5,0.1264,0.8182,0.5714,0.8333,0.6,0.4286,0.95,0.6295,1.0,True
TWN,0.8333,0.5,0.69,0.7273,0.4,0.8333,0.8,0.5714,0.8206,0.6577,0.964,True
TJK,0.8333,0.75,0.119,0.8182,0.1429,1.0,0.4,0.5,0.5,0.5791,0.964,True
TZA,0.6667,0.75,0.6224,0.8182,0.3333,1.0,0.6,0.5714,1.0,0.6787,0.964,True
THA,0.8333,0.75,0.7939,0.6364,0.1667,0.6667,0.8,1.0,0.85,0.706,0.982,True
TGO,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
TON,0.8333,0.75,0.5799,0.7273,0.2857,0.8333,0.4,0.5,0.4,0.6004,0.911,True
TTO,0.6667,0.75,0.2139,0.8182,0.1429,0.8333,0.4,0.1429,1.0,0.5349,1.0,True
TUN,0.8333,0.5,0.4646,0.8182,0.8,1.0,0.8,0.7143,1.0,0.7569,0.964,True
TUR,0.8333,0.25,0.8,0.8182,0.2857,0.8333,0.8,0.4286,0.56,0.5875,1.0,True
TCA,1.0,0.5,0.8667,0.7,0.0,0.6,0.6667,1.0,0.9,0.6738,0.696,False
UGA,0.8333,0.75,0.3236,0.9091,0.1429,1.0,0.6,0.5714,0.89,0.6591,1.0,True
UKR,0.8333,0.5,0.2579,0.8182,0.4286,0.6667,0.4,0.5714,0.997,0.616,0.964,True
GBR,0.5,1.0,0.8,0.8182,0.8571,0.3333,0.6,0.8571,0.635,0.7452,1.0,True
USA,1.0,0.75,0.8,0.3636,0.8571,0.6667,0.6,0.8571,,0.7479,0.964,True
URY,0.8333,0.75,0.6278,0.9091,0.1429,1.0,0.4,0.7143,0.675,0.6716,1.0,True
VUT,0.8333,1.0,0.3537,0.8182,0.0,0.8333,0.6,0.6,0.785,0.6482,0.875,True
VNM,0.8333,0.5,0.2198,0.5556,0.6667,1.0,0.75,0.7143,0.75,0.6614,0.875,True
PSE,0.6667,0.5,0.7984,0.7273,0.4286,0.8333,0.6,1.0,0.6625,0.6814,0.982,True
ZWE,1.0,1.0,0.5292,0.75,0.3333,1.0,0.4,0.5714,1.0,0.7313,0.857,True
