iso3,category,category_score,n_concepts,sum_effective_weight,category_weight_rule
CHL,Political foundations,0.5696332923419012,2,2.0,equal
CHL,Rule of law,0.6034200805639303,5,5.0,equal
CHL,State capacity,0.58926727693414,4,4.0,equal
CHN,Accountability,0.26482090879838377,7,7.0,equal
CHN,Economic and fiscal governance,0.42148378500733014,6,4.75,equal
CHN,Political foundations,0.41588952474711577,2,2.0,equal
CHN,Rule of law,0.3791422657897422,5,5.0,equal
CHN,State capacity,0.5046479981137796,4,4.0,equal
CIV,Accountability,0.458651824134466,7,7.0,equal
CIV,Economic and fiscal governance,0.47262742239014804,6,4.75,equal
CIV,Political foundations,0.4291724013396181,2,2.0,equal
CIV,Rule of law,0.4376538378977591,5,5.0,equal
CIV,State capacity,0.41670330555753266,4,4.0,equal
CMR,Accountability,0.3346478965513752,7,7.0,equal
CMR,Economic and fiscal governance,0.4246649791267827,6,4.75,equal
CMR,Political foundations,0.3603964030824462,2,2.0,equal
CMR,Rule of law,0.3536792895967493,5,5.0,equal
CMR,State capacity,0.386404700302202,4,4.0,equal
COD,Accountability,0.37696051918932383,7,7.0,equal
COD,Economic and fiscal governance,0.35897767941725756,6,4.75,equal
COD,Political foundations,0.31628828287708455,2,2.0,equal
COD,Rule of law,0.2753026559411404,5,5.0,equal
COD,State capacity,0.2608056620453598,4,4.0,equal
COG,Accountability,0.32427826351955763,7,7.0,equal
COG,Economic and fiscal governance,0.31310418250772676,6,4.75,equal
COG,Political foundations,0.43432769450519104,2,2.0,equal
COG,Rule of law,0.3451019562510164,5,5.0,equal
COG,State capacity,0.3278362189465799,4,4.0,equal
COL,Accountability,0.5590320250120937,7,7.0,equal
COL,Economic and fiscal governance,0.5472397140260234,6,4.75,equal
COL,Political foundations,0.450244105924816,2,2.0,equal
COL,Rule of law,0.45814001735556903,5,5.0,equal
COL,State capacity,0.49922767750049474,4,4.0,equal
COM,Accountability,0.37068007490792576,7,7.0,equal
COM,Economic and fiscal governance,0.35613509020079254,6,4.75,equal
COM,Political foundations,0.5270256094103276,2,2.0,equal
COM,Rule of law,0.3326720320936326,5,5.0,equal
COM,State capacity,0.35268069927868384,4,4.0,equal
CPV,Accountability,0.5876937604271637,7,7.0,equal
CPV,Economic and fiscal governance,0.46978941630362137,6,4.75,equal
CPV,Political foundations,0.6180031796639738,2,2.0,equal
CPV,Rule of law,0.5640689843233286,5,5.0,equal
CPV,State capacity,0.5035006894450436,4,4.0,equal
CRI,Accountability,0.6588797450505428,7,7.0,equal
CRI,Economic and fiscal governance,0.5967132271626,6,4.75,equal
CRI,Political foundations,0.6261268938963896,2,2.0,equal
CRI,Rule of law,0.6104929593961004,5,5.0,equal
CRI,State capacity,0.6109578572302541,4,4.0,equal
CUB,Accountability,0.27511942731260375,7,7.0,equal
CUB,Economic and fiscal governance,0.2919344872679093,6,4.75,equal
CUB,Political foundations,0.5376959895927333,2,2.0,equal
CUB,Rule of law,0.3789507462269022,5,5.0,equal
CUB,State capacity,0.46329537915011376,4,4.0,equal
