iso3,jurisdiction,methodology_round,report_type,report_date,assessment_body,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,IO1_num,IO2_num,IO3_num,IO4_num,IO5_num,IO6_num,IO7_num,IO8_num,IO9_num,IO10_num,IO11_num,R1_num,R2_num,R3_num,R4_num,R5_num,R6_num,R7_num,R8_num,R9_num,R10_num,R11_num,R12_num,R13_num,R14_num,R15_num,R16_num,R17_num,R18_num,R19_num,R20_num,R21_num,R22_num,R23_num,R24_num,R25_num,R26_num,R27_num,R28_num,R29_num,R30_num,R31_num,R32_num,R33_num,R34_num,R35_num,R36_num,R37_num,R38_num,R39_num,R40_num,n_upgrades,n_downgrades
MDV,Maldives,2013,MER,2025-10,APG,ME,ME,LE,LE,ME,ME,LE,LE,LE,LE,LE,PC,NC,LC,PC,LC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,PC,NC,PC,PC,LC,C,PC,PC,PC,PC,PC,LC,PC,LC,LC,PC,LC,LC,PC,PC,PC,LC,PC,LC,LC,1,1,0,0,1,1,0,0,0,0,0,1,0,2,1,2,0,0,0,2,1,2,1,2.0,1,0,1,0.0,1,1,2,3,1,1,1,1.0,1,2,1,2,2,1,2,2,1,1,1,2,1,2,2,,
MLI,Mali,2013,MER+FUR(s),2024-01,GIABA,LE,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,LC,PC,LC,LC,PC,C,LC,LC,LC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,PC,C,PC,LC,C,C,PC,PC,C,LC,LC,LC,PC,LC,LC,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,1,3,2,2,2,2.0,1,0,1,2.0,2,0,1,3,1,1,1,1.0,1,3,1,2,3,3,1,1,3,2,2,2,1,2,2,6,1
MLT,Malta,2013,MER+FUR(s),2021-08,MONEYVAL,ME,SE,LE,ME,ME,ME,LE,LE,ME,ME,SE,LC,C,C,C,LC,LC,C,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,C,LC,1,2,0,1,1,1,0,0,1,1,2,2,3,3,3,2,2,3,2,3,2,3,2,2.0,2,2,2,2.0,2,3,3,3,2,2,2,2.0,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,9,
MHL,Marshall Islands,2013,MER,2024-11,APG,ME,ME,ME,ME,LE,ME,LE,LE,ME,ME,ME,LC,LC,LC,LC,LC,C,C,PC,C,C,C,C,C,LC,PC,C,C,C,LC,LC,C,C,LC,PC,C,LC,LC,LC,LC,LC,LC,PC,NC,LC,C,LC,LC,LC,LC,LC,1,1,1,1,0,1,0,0,1,1,1,2,2,2,2,2,3,3,1,3,3,3,3,3.0,2,1,3,3.0,3,2,2,3,3,2,1,3.0,2,2,2,2,2,2,1,0,2,3,2,2,2,2,2,,
MRT,Mauritania,2013,MER+FUR(s),2021-11,MENAFATF,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,C,LC,LC,C,LC,LC,PC,LC,C,C,C,LC,LC,PC,LC,C,C,C,C,LC,C,LC,PC,LC,C,C,PC,LC,LC,C,LC,PC,LC,C,LC,LC,LC,LC,LC,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,2,2,1,2,3,3,3,2.0,2,1,2,3.0,3,3,3,2,3,2,1,2.0,3,3,1,2,2,3,2,1,2,3,2,2,2,2,2,3,
MUS,Mauritius,2013,MER+FUR(s),2023-01,ESAAMLG,LE,ME,LE,ME,LE,ME,ME,LE,LE,LE,LE,C,C,C,C,C,C,C,LC,C,C,LC,C,C,C,LC,C,C,C,C,C,C,C,C,LC,LC,LC,C,LC,C,C,C,LC,C,LC,C,LC,LC,LC,LC,LC,0,1,0,1,0,1,1,0,0,0,0,3,3,3,3,3,3,3,2,3,3,2,3,3.0,3,2,3,3.0,3,3,3,3,3,3,2,2.0,2,3,2,3,3,3,2,3,2,3,2,2,2,2,2,4,1
MEX,Mexico,2013,MER+FUR(s),2023-05,FATF,SE,SE,ME,LE,ME,ME,LE,LE,ME,SE,SE,LC,LC,C,LC,LC,C,C,LC,C,LC,LC,C,LC,LC,LC,C,C,LC,LC,PC,LC,PC,NC,LC,LC,LC,LC,PC,C,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC,2,2,1,0,1,1,0,0,1,2,2,2,2,3,2,2,3,3,2,3,2,2,3,2.0,2,2,3,3.0,2,2,1,2,1,0,2,2.0,2,2,1,3,2,2,1,1,2,2,2,3,3,2,2,2,
MDA,Moldova,2013,MER+FUR(s),2025-06,MONEYVAL,SE,SE,ME,ME,ME,ME,ME,ME,SE,ME,LE,LC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,C,C,LC,LC,LC,PC,C,LC,LC,C,C,LC,LC,LC,C,C,LC,LC,PC,LC,LC,2,2,1,1,1,1,1,1,2,1,0,2,2,2,3,2,2,2,1,2,2,2,2,2.0,3,1,2,2.0,2,2,3,3,2,2,2,1.0,3,2,2,3,3,2,2,2,3,3,2,2,1,2,2,2,1
MCO,Monaco,2013,MER+FUR(s),2024-11,MONEYVAL,ME,ME,LE,ME,ME,ME,LE,LE,ME,ME,ME,LC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,C,LC,C,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,1,1,0,1,1,1,0,0,1,1,1,2,2,2,2,2,3,3,2,2,2,2,3,2.0,3,1,2,2.0,2,2,3,3,2,2,2,2.0,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,15,
MNG,Mongolia,2013,MER+FUR(s),2023-10,APG,LE,ME,LE,LE,LE,LE,LE,ME,LE,LE,LE,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,C,C,LC,LC,LC,LC,C,C,LC,LC,LC,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,3,2,2,3,2,2.0,3,2,2,2.0,2,2,2,3,2,2,2,2.0,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,1,1
MNE,Montenegro,2013,MER+FUR(s),2025-12,MONEYVAL,SE,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,PC,PC,LC,LC,PC,C,C,LC,PC,LC,LC,PC,LC,LC,LC,LC,LC,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2.0,2,2,2,2.0,2,1,2,2,2,2,1,1.0,2,2,1,3,3,2,1,2,2,1,2,2,2,2,2,13,
MSR,Montserrat,2013,MER,2025-01,CFATF,ME,SE,ME,LE,LE,ME,ME,SE,ME,ME,ME,LC,LC,C,C,LC,LC,LC,PC,C,C,C,C,C,C,PC,LC,C,LC,LC,C,C,LC,LC,PC,PC,LC,C,LC,PC,C,LC,C,C,LC,LC,PC,C,C,C,LC,1,2,1,0,0,1,1,2,1,1,1,2,2,3,3,2,2,2,1,3,3,3,3,3.0,3,1,2,3.0,2,2,3,3,2,2,1,1.0,2,3,2,1,3,2,3,3,2,2,1,3,3,3,2,,
