iso3,concept_id,metric,tier,tier_weight,harmonized,latest_year,stale,present,bucket,renormalized_weight,metric_contribution,missingness_tag
AFG,14,wjp_f3_open_government,P1,1.0,0.2679929963479321,2025,False,True,,0.1428571428571428,0.0382847137639903,exogenous
AFG,14,wjp_f4_fundamental_rights,P1,1.0,0.1492594328717277,2025,False,True,,0.1428571428571428,0.0213227761245325,exogenous
AFG,15,v2jucomp,P1,1.0,0.418111564280488,2025,False,True,,0.1428571428571428,0.0597302234686411,exogenous
AFG,15,v2juhcind,P1,1.0,0.2666433529707381,2025,False,True,,0.1428571428571428,0.0380919075672483,exogenous
AFG,15,v2juncind,P1,1.0,0.062982629596893,2025,False,True,,0.1428571428571428,0.0089975185138418,exogenous
AFG,15,v2jupack,P1,1.0,0.2902161415400414,2025,False,True,,0.1428571428571428,0.0414594487914344,exogenous
AFG,15,v2jupurge,P1,1.0,0.4611085877667738,2025,False,True,,0.1428571428571428,0.0658726553952534,exogenous
AFG,15,wjp_f7_civil_justice,P1,1.0,0.2140790312124572,2025,False,True,,0.1428571428571428,0.0305827187446367,exogenous
AFG,15,wjp_f8_criminal_justice,P1,1.0,0.2555901360810917,2025,False,True,,0.1428571428571428,0.0365128765830131,exogenous
AFG,16,gpi_peace_index,P2,0.5,0.0424416590515838,2025,False,True,,0.0769230769230769,0.0032647430039679,exogenous
AFG,16,pts_index,P1,1.0,0.1087855136498084,2024,False,True,,0.1538461538461538,0.0167362328692012,exogenous
AFG,16,unodc_homicide_rate,P1,1.0,0.4176731078904991,2021,True,True,,0.1538461538461538,0.0642574012139229,exogenous
AFG,16,v2clkill,P1,1.0,0.1200598054107706,2025,False,True,,0.1538461538461538,0.0184707392939647,exogenous
AFG,16,v2clrgunev,P1,1.0,0.0069319096027743,2025,False,True,,0.1538461538461538,0.001066447631196,exogenous
AFG,16,v2cltort,P1,1.0,0.1505983358231777,2025,False,True,,0.1538461538461538,0.0231689747420273,exogenous
AFG,16,wjp_f5_order_security,P1,1.0,0.0438975959129379,2025,False,True,,0.1538461538461538,0.0067534762942981,exogenous
AFG,17,v2xcl_prpty,P1,1.0,0.0908095272556902,2025,False,True,,0.5,0.0454047636278451,exogenous
AFG,17,wjp_f6_5_no_expropriation,P1,1.0,0.2957085883338636,2025,False,True,,0.5,0.1478542941669318,exogenous
AFG,18,bci_corruption_index,P2,0.5,0.2771243415895178,2021,True,True,,0.0909090909090909,0.0251931219626834,exogenous
AFG,18,ti_cpi_score,P1,1.0,0.2697223652733326,2024,False,True,,0.1818181818181818,0.0490404300496968,exogenous
AFG,18,v2jucorrdc,P1,1.0,0.3705921036186921,2025,False,True,,0.1818181818181818,0.0673803824761258,exogenous
AFG,18,v2lgcrrpt,P1,1.0,0.1819785305287865,2021,True,True,,0.1818181818181818,0.0330870055506884,exogenous
AFG,18,v2x_corr,P1,1.0,0.3510020657722238,2025,False,True,,0.1818181818181818,0.0638185574131316,exogenous
AFG,18,wjp_f2_absence_corruption,P1,1.0,0.299165849312732,2025,False,True,,0.1818181818181818,0.054393790784133,exogenous
AFG,19,v2lginvstp,P1,1.0,0.271262726175052,2024,False,True,,0.2,0.0542525452350104,exogenous
AFG,19,v2lgoppart,P1,1.0,0.3589168178439254,2021,True,True,,0.2,0.071783363568785,exogenous
AFG,19,v2lgotovst,P1,1.0,0.2967978088243946,2024,False,True,,0.2,0.0593595617648789,exogenous
AFG,19,v2lgqstexp,P1,1.0,0.5419868615033645,2021,True,True,,0.2,0.1083973723006729,exogenous
AFG,19,v2xlg_legcon,P1,1.0,0.2658082582646291,2024,False,True,,0.2,0.0531616516529258,exogenous
AFG,20,fh_a_electoral_process,P1,1.0,0.2088657481916571,2025,False,True,,0.1,0.0208865748191657,exogenous
AFG,20,nelda_concerns_not_free_fair,Sp,0.0,1.0,2019,True,True,,0.0,0.0,exogenous
AFG,20,nelda_media_bias_incumbent,Sp,0.0,1.0,2019,True,True,,0.0,0.0,exogenous
AFG,20,nelda_opposition_allowed,Sp,0.0,1.0,2019,True,True,,0.0,0.0,exogenous
AFG,20,nelda_riots_protests_after,Sp,0.0,0.0,2019,True,True,,0.0,0.0,exogenous
AFG,20,nelda_violence_deaths_before,Sp,0.0,0.0,2019,True,True,,0.0,0.0,exogenous
AFG,20,pei_electoral_integrity_index,P1,1.0,0.2258080017084598,2019,True,True,,0.1,0.0225808001708459,exogenous
AFG,20,v2elaccept,P1,1.0,0.3311331936854244,2021,True,True,,0.1,0.0331133193685424,exogenous
AFG,20,v2elembaut,P1,1.0,0.1535015355729708,2025,False,True,,0.1,0.015350153557297,exogenous
AFG,20,v2elembcap,P1,1.0,0.0,2025,False,True,,0.1,0.0,exogenous
AFG,20,v2elfrfair,P1,1.0,0.3500010299364861,2021,True,True,,0.1,0.0350001029936486,exogenous
AFG,20,v2elintim,P1,1.0,0.337762741547557,2021,True,True,,0.1,0.0337762741547556,exogenous
AFG,20,v2elirreg,P1,1.0,0.3400606136882559,2021,True,True,,0.1,0.0340060613688255,exogenous
AFG,20,v2elvotbuy,P1,1.0,0.2955954182584228,2021,True,True,,0.1,0.0295595418258422,exogenous
AFG,20,v2x_polyarchy,P1,1.0,0.2040346639816927,2025,False,True,,0.1,0.0204034663981692,exogenous
AFG,21,civicus_score,P1,1.0,0.2212005855798161,2025,False,True,,0.1176470588235294,0.0260235983035077,exogenous
AFG,21,idea_local_democracy,P2,0.5,0.2764360798561656,2025,False,True,,0.0588235294117647,0.016260945873892,exogenous
AFG,21,idea_participation,P1,1.0,0.0576772752260411,2025,False,True,,0.1176470588235294,0.0067855617912989,exogenous
AFG,21,v2cseeorgs,P1,1.0,0.0370467747535934,2025,False,True,,0.1176470588235294,0.004358444088658,exogenous
AFG,21,v2csreprss,P1,1.0,0.1203112276010781,2025,False,True,,0.1176470588235294,0.014154262070715,exogenous
AFG,21,v2dlconslt,P1,1.0,0.1720819690104918,2025,False,True,,0.1176470588235294,0.020244937530646,exogenous
AFG,21,v2pscohesv,P1,1.0,0.0549191818735064,2025,False,True,,0.1176470588235294,0.0064610802204125,exogenous
AFG,21,v2psprlnks,P1,1.0,0.1454290479630767,2025,False,True,,0.1176470588235294,0.0171092997603619,exogenous
AFG,21,v2x_partip,P1,1.0,0.2161979172759814,2025,False,True,,0.1176470588235294,0.0254350490912919,exogenous
AFG,22,fh_d_expression_belief,P2,0.5,0.0958226254056688,2025,False,True,,0.0476190476190476,0.0045629821621747,exogenous
AFG,22,fh_g_personal_autonomy,P1,1.0,0.1892629630074691,2025,False,True,,0.0952380952380952,0.0180250440959494,exogenous
AFG,22,pew_gov_restrictions_index,P2,0.5,0.1078441373446512,2022,True,True,,0.0476190476190476,0.00513543511165,exogenous
AFG,22,pew_social_hostilities_index,P2,0.5,0.1414846735435011,2022,True,True,,0.0476190476190476,0.0067373654068333,exogenous
AFG,22,pts_index,P2,0.5,0.1087855136498084,2024,False,True,,0.0476190476190476,0.0051802625547527,exogenous
AFG,22,v2cldmovem,P1,1.0,0.3195487473422262,2025,False,True,,0.0952380952380952,0.0304332140325929,exogenous
AFG,22,v2cldmovew,P1,1.0,0.0,2025,False,True,,0.0952380952380952,0.0,exogenous
AFG,22,v2clrelig,P1,1.0,0.0,2025,False,True,,0.0952380952380952,0.0,exogenous
AFG,22,v2clslavef,P1,1.0,0.0,2025,False,True,,0.0952380952380952,0.0,exogenous
AFG,22,v2clsocgrp,P1,1.0,0.0,2025,False,True,,0.0952380952380952,0.0,exogenous
AFG,22,v2x_civlib,P1,1.0,0.0533967326976031,2025,False,True,,0.0952380952380952,0.0050854031140574,exogenous
AFG,22,wbl_enforcement_perceptions,P2,0.5,0.0930772708190632,2025,False,True,,0.0476190476190476,0.0044322509913839,exogenous
AFG,22,wbl_legal_framework,P2,0.5,0.0,2025,False,True,,0.0476190476190476,0.0,exogenous
AFG,22,wbl_supportive_framework,P2,0.5,0.1252772067825921,2025,False,True,,0.0476190476190476,0.0059655812753615,exogenous
AFG,23,cpj_imprisoned,P1,1.0,0.0072769953051643,2026,False,True,,0.1333333333333333,0.0009702660406885,census
AFG,23,cpj_murders_unsolved,P2,0.5,0.0043427230046948,2026,False,True,,0.0666666666666666,0.0002895148669796,census
AFG,23,fh_d_expression_belief,P2,0.5,0.0958226254056688,2025,False,True,,0.0666666666666666,0.0063881750270445,exogenous
AFG,23,rti_total,P2,0.5,0.809449924385932,2026,False,True,,0.0666666666666666,0.0539633282923954,endogenous
AFG,23,v2mebias,P1,1.0,0.0307325149580715,2025,False,True,,0.1333333333333333,0.0040976686610761,exogenous
AFG,23,v2mecenefm,P1,1.0,0.1524674133053753,2025,False,True,,0.1333333333333333,0.0203289884407167,exogenous
AFG,23,v2mecorrpt,P1,1.0,0.1056574798443499,2025,False,True,,0.1333333333333333,0.0140876639792466,exogenous
AFG,23,v2merange,P1,1.0,0.0248847062376514,2025,False,True,,0.1333333333333333,0.0033179608316868,exogenous
AFG,23,v2x_freexp_altinf,P1,1.0,0.1085974559288859,2025,False,True,,0.1333333333333333,0.0144796607905181,exogenous
AFG,24,civicus_score,P1,1.0,0.2212005855798161,2025,False,True,,0.1666666666666666,0.0368667642633026,exogenous
