iso3,C1_score,C2_score,C3_score,C4_score,C5_score,C6_score,C8_score,C9_score,C10_score,C11_score,C12_score,C13_score,C14_score,C15_score,C16_score,C17_score,C18_score,C19_score,C20_score,C21_score,C22_score,C23_score,C24_score,C25_score,C1_lowconf,C2_lowconf,C3_lowconf,C4_lowconf,C5_lowconf,C6_lowconf,C8_lowconf,C9_lowconf,C10_lowconf,C11_lowconf,C12_lowconf,C13_lowconf,C14_lowconf,C15_lowconf,C16_lowconf,C17_lowconf,C18_lowconf,C19_lowconf,C20_lowconf,C21_lowconf,C22_lowconf,C23_lowconf,C24_lowconf,C25_lowconf
LKA,0.49157928168529214,0.4907448854558339,0.45386259397767614,0.48340380648286113,0.5014736534806921,0.45477492380042933,0.4840276721121904,0.3789472456043108,0.5090926410582278,0.4924688946761081,0.4663579979439711,0.5383602816290612,0.48406028830310927,0.5641604146060797,0.4706459091126637,0.49031665999370766,0.5252042357388327,0.5051648749846166,0.6347403851737735,0.5626271761278928,0.44396546422613303,0.5896375246216538,0.5387770558136492,0.5692301880066062,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LSO,0.5935157894489417,0.5279505169206726,0.37567676069812306,0.45887292415655834,0.3543325462223738,0.41676025399047517,0.431480103598895,0.29420217207870886,0.5892899148568227,0.437767294005511,0.45314508024617733,0.47801103728395206,0.6012118420342385,0.5693266314489682,0.4619532354045774,0.46500840550589656,0.49780105045179646,0.5024522104419306,0.589385945434472,0.5643995926316587,0.5648738183822359,0.4730303969399705,0.5605073970734634,0.4527975561596923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LTU,0.7226249911282313,0.5377704383805084,0.5933837780066757,0.6546174312555448,0.6356654809046889,0.7144811392268446,0.754705904384368,0.5644057667343828,0.7268627933570174,0.6899422762538201,0.7394060630779884,0.6629118088425003,0.6100947001417346,0.6781768305266264,0.6680472415277374,0.6844063841196701,0.6507606860539024,0.6639017505212579,0.651242961421014,0.6138529834536592,0.6311747549769697,0.6249867124328754,0.6166756169857429,0.6391259810224069,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUX,0.7256941599019067,0.6263245252091126,0.5722771689929568,0.8292105820287079,0.651741694979223,0.8047628974803709,0.7122415311428756,0.7215136740722983,0.7332914325392695,0.7280854192799983,0.7806025552880137,0.6927454875202917,0.7898988881386889,0.6662812450362642,0.6915744823815787,0.7384972305130674,0.7978203407713557,0.6369061263414082,0.696868174892754,0.7141476203516058,0.6874455942421174,0.6576774067247457,0.7423357131507747,0.7220583143636164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LVA,0.6097308691480002,0.5476872054422238,0.617668054113899,0.7295865262681334,0.638088895850841,0.6907627469852808,0.7580522886203324,0.8375211147319894,0.740523651619303,0.693650244612111,0.6671625504050023,0.6414998571915832,0.6931856151809245,0.6886844135293512,0.6578225632947219,0.6632380432433628,0.6643582431219026,0.5993901124196114,0.6851010109669763,0.6381629988981955,0.659010971056743,0.5994339746499187,0.6589171786661384,0.6437523796783196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MAC,,0.578682337857256,0.3656800975144414,0.6883981722041979,0.6406538430420462,0.7351012494570317,0.5917020788180732,0.6842135710069986,,0.7402145037279866,0.20780407391759165,,,,0.9160628019323672,,,,,,0.6804874432773259,0.503755868544601,,,,False,False,True,False,True,True,False,,True,True,,,,True,,,,,,True,True,,
MAF,,0.5457746478873239,,,0.6699282193236638,,,,,,0.020539906103286366,,,,0.0847423510466989,,,,,,,0.503755868544601,,,,True,,,True,,,,,,True,,,,True,,,,,,,True,,
MAR,0.4246497920869326,0.4739659652345862,0.537040404732418,0.4617438934837191,0.5475914017020241,0.474021792823683,0.517802768056486,0.5078579230755036,0.4991282503257371,0.5298049375331466,0.412648273398597,0.4157679156911002,0.35497809792791024,0.5083499132823195,0.5099457139469936,0.5044259621551516,0.4359357294694714,0.5412468076377471,0.45735672518164366,0.4102916277756818,0.4286515213162902,0.45620349858537473,0.414207239881275,0.46582935578837326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MCO,,0.5864630263162028,0.2220925185462492,0.7958240007973033,0.7646728987727909,0.6880724418945245,,0.49823405277871374,,,0.14456181533646323,,0.8023112691466083,,0.84669914130885,,,,0.5149789589645198,0.7352048565380609,0.692666950666596,0.5230606243899485,0.7135405400916555,0.3777040639188711,,False,False,True,False,True,,False,,,True,,True,,True,,,,True,True,True,True,True,True
MDA,0.5642696936713676,0.5244529044833236,0.5981343544871994,0.5093961072482893,0.5787155492248512,0.4408244659662014,0.6456912652303479,0.5819371321078898,0.5481466240904093,0.5255896719155874,0.4272789796603611,0.495338494561387,0.515924431872618,0.4967930357449069,0.5667112079370663,0.5146342531079243,0.49234859986073476,0.5357903342308054,0.52302608893267,0.5536146110675533,0.5640148288917638,0.4396199655519307,0.5221829787316307,0.5934577525427165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MDG,0.48248246086886604,0.4175532852297265,0.35240871612897406,0.3126344813876278,0.2553767332902874,0.3691318174305923,0.3611091484316657,0.29248579685863607,0.5486287720290782,0.4227349919203745,0.4049826768726961,0.37037264463402786,0.3186965448550967,0.3109874623108292,0.44228226112721525,0.46353551783047936,0.3032206636280356,0.4420411113130859,0.3286521853153396,0.4051870666948619,0.4723439818480124,0.48311638150654196,0.5141059901941866,0.3441597270327818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MDV,0.49425568839739914,0.491883773343064,0.4172096298525773,0.5664848679734122,0.533892600043863,0.4544668667613307,0.4055966503980789,0.28577367990377883,0.4290560832391893,0.4294924211723359,0.39921696885774094,0.5721709949459933,0.3240328950847026,0.5201166957031196,0.6214061962069252,0.5800681093223927,0.5443828107626731,0.5611344789398661,0.496653248342721,0.5036514766395913,0.37635370875232,0.5215085066663713,0.4736172294845709,0.5556245561778038,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
MEX,0.48504340227624826,0.4171288429327387,0.6119038885846935,0.42308646203133626,0.5254785816449186,0.42794895064509486,0.5662708485871903,0.5564982716576657,0.5206641915862816,0.6175985785673849,0.5878993489580835,0.43826399877309985,0.3588846120276027,0.28734765431282944,0.26436688105014844,0.4766729004232982,0.38800635415378953,0.36306078274807263,0.5076464021359877,0.48656289047591356,0.43781356411327027,0.48392608745848065,0.42158242574906124,0.5453919608688039,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MHL,,0.5880841581290752,0.28673492949603513,0.4450722460992342,0.5095113528593086,0.3754816202666173,0.47981195890981776,0.5061415478554309,,,0.42226295184755264,,0.625136761487965,,0.5561395599883993,,0.502443469604674,,0.6680355643509511,0.7484504006733372,0.5605739572326357,0.49297019003596076,0.6984897308968445,0.2682870094945773,,False,False,True,False,True,False,False,,,False,,True,,True,,True,,True,True,False,True,True,True
MKD,0.4652760637855308,0.5205503010019233,0.5581911447506727,0.4336382058206544,0.5594081505632738,0.5130454518011608,0.5642759020012168,0.5327757864275146,0.6035936370373336,0.5868746103449071,0.4461055266142396,0.5862766771217931,0.4519614946598356,0.43158115336795444,0.5726932392253726,0.5137938176401533,0.4011794449533291,0.5231530637685008,0.5136351911012721,0.5219657003512359,0.5438523760092233,0.48956340147539285,0.5070297679637754,0.5330794553936079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
