country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
300,GRC,Greece,56.2,50.8,53.9,71.5,69.1,38.9,15.6,81.7,2022,,,
300,GRC,Greece,67.3,71.3,67.0,63.1,62.4,61.4,47.8,83.1,2024,72.2,47.2,39.7
308,GRD,Grenada,47.9,65.7,33.1,45.0,29.0,28.9,14.6,15.1,2022,,,
308,GRD,Grenada,45.8,36.7,39.9,66.0,21.0,51.0,84.0,46.0,2024,0.0,100.0,3.4
320,GTM,Guatemala,28.0,26.7,29.0,28.1,41.3,23.7,25.5,6.8,2022,,,
320,GTM,Guatemala,32.5,30.6,38.4,24.2,36.0,56.8,39.0,28.4,2024,53.8,20.6,19.2
324,GIN,Guinea,31.6,30.0,38.7,19.5,60.6,31.2,22.0,0.0,2022,,,
324,GIN,Guinea,36.5,22.2,48.2,32.6,61.0,45.9,38.2,12.0,2024,81.4,100.0,7.7
624,GNB,Guinea-Bissau,40.2,40.5,51.2,16.6,76.2,34.1,33.0,0.0,2022,,,
624,GNB,Guinea-Bissau,42.0,41.8,45.6,35.6,53.8,42.2,67.0,12.5,2024,47.7,100.0,21.4
328,GUY,Guyana,38.5,40.0,40.2,32.3,46.1,52.6,14.6,0.0,2022,,,
328,GUY,Guyana,49.0,30.6,57.2,56.0,56.5,74.0,31.1,27.9,2024,,,0.0
332,HTI,Haiti,26.1,27.9,26.9,21.1,35.4,15.7,33.5,7.1,2022,,,
332,HTI,Haiti,36.4,47.7,37.2,22.4,30.0,50.6,86.8,12.8,2024,52.6,50.0,26.8
340,HND,Honduras,36.5,35.0,40.9,30.0,60.7,24.2,26.8,3.1,2022,,,
340,HND,Honduras,40.2,41.2,49.1,23.0,50.4,38.6,45.3,28.7,2024,76.9,11.1,25.6
348,HUN,Hungary,55.1,48.1,65.0,47.6,78.0,53.0,,55.3,2022,,,
348,HUN,Hungary,59.8,49.2,73.2,48.3,66.9,69.2,,86.2,2024,,,
352,ISL,Iceland,62.8,56.4,53.4,94.7,57.0,18.5,19.2,15.3,2022,,,
352,ISL,Iceland,64.3,48.2,60.4,90.2,54.8,36.5,47.5,75.0,2024,46.1,40.9,29.2
356,IND,India,18.9,21.7,19.3,12.5,5.8,40.0,24.5,2.2,2022,,,
356,IND,India,27.6,35.0,30.4,13.5,11.2,65.1,37.0,30.8,2024,1.9,100.0,0.2
360,IDN,Indonesia,28.2,23.2,34.1,25.3,51.2,36.7,16.3,0.0,2022,,,
360,IDN,Indonesia,33.6,32.1,38.9,25.8,30.7,72.2,39.9,36.7,2024,28.6,96.1,13.0
364,IRN,Iran,34.5,24.0,40.6,41.9,27.3,47.7,23.4,3.7,2022,,,
364,IRN,Iran,41.8,35.1,46.3,41.8,42.8,37.8,63.3,29.2,2024,66.4,100.0,22.2
368,IRQ,Iraq,27.8,8.8,41.6,35.0,28.3,51.4,,13.1,2022,,,
368,IRQ,Iraq,30.3,24.6,32.7,32.9,20.0,49.6,72.7,43.9,2024,0.0,,0.4
372,IRL,Ireland,57.4,48.2,50.9,88.3,59.6,48.7,18.2,87.0,2022,,,
372,IRL,Ireland,65.8,51.1,66.9,81.6,62.5,72.9,40.6,72.5,2024,33.1,60.7,46.9
376,ISR,Israel,48.2,39.8,42.5,76.0,39.7,28.8,27.6,81.7,2022,,,
376,ISR,Israel,48.0,43.3,42.0,64.4,29.6,45.3,27.5,88.7,2024,0.0,100.0,50.0
380,ITA,Italy,57.7,48.2,57.2,76.9,76.5,38.8,16.8,58.8,2022,,,
380,ITA,Italy,60.3,53.2,62.8,64.2,58.5,56.4,34.0,72.7,2024,66.8,45.3,41.8
388,JAM,Jamaica,45.6,54.1,39.8,41.8,53.2,25.3,16.9,3.0,2022,,,
388,JAM,Jamaica,48.5,54.3,49.5,39.7,38.2,55.1,83.2,40.5,2024,76.0,50.0,20.3
392,JPN,Japan,57.2,41.2,59.6,82.5,80.8,33.4,15.6,74.8,2022,,,
392,JPN,Japan,61.4,59.7,59.2,67.3,47.4,63.3,48.5,76.5,2024,42.9,37.0,58.7
400,JOR,Jordan,43.6,42.8,40.3,52.2,24.1,48.9,,18.6,2022,,,
400,JOR,Jordan,47.3,44.6,49.3,47.2,32.8,38.1,95.7,72.4,2024,,,0.0
398,KAZ,Kazakhstan,40.9,34.9,48.1,37.5,48.6,60.5,,27.5,2022,,,
398,KAZ,Kazakhstan,47.8,42.3,49.7,51.0,50.2,44.7,,32.1,2024,87.6,50.0,41.7
404,KEN,Kenya,30.8,29.0,34.6,26.2,46.4,27.1,16.4,1.1,2022,,,
404,KEN,Kenya,36.9,26.5,49.2,27.1,43.8,44.2,77.1,37.8,2024,58.6,59.9,20.3
296,KIR,Kiribati,49.0,56.3,52.7,27.2,72.6,26.5,21.5,4.5,2022,,,
296,KIR,Kiribati,44.3,40.9,45.6,46.4,30.5,58.6,91.4,21.0,2024,23.6,100.0,8.0
414,KWT,Kuwait,42.4,32.3,47.1,51.5,60.0,39.5,18.6,43.1,2022,,,
414,KWT,Kuwait,44.4,24.9,53.7,50.4,50.5,59.0,23.3,85.7,2024,0.0,100.0,7.4
417,KGZ,Kyrgyzstan,35.7,34.0,40.4,29.1,28.5,49.0,,8.6,2022,,,
417,KGZ,Kyrgyzstan,42.8,45.4,44.4,37.1,37.0,51.9,,23.9,2024,,,
418,LAO,Laos,30.7,16.2,46.9,24.2,74.9,49.1,,0.0,2022,,,
418,LAO,Laos,26.3,9.6,40.5,19.4,50.6,78.5,,21.6,2024,,,
428,LVA,Latvia,61.1,58.6,65.4,56.9,84.3,64.4,38.4,90.7,2022,,,
428,LVA,Latvia,60.2,52.4,68.5,54.6,68.4,64.4,69.0,68.0,2024,86.8,37.2,42.9
422,LBN,Lebanon,32.2,37.9,20.4,46.3,12.8,17.5,15.4,38.2,2022,,,
